venueIndex,VenueId,Latitude,Longitude,L1_category,visitedNum,categoryId
0,413ba880f964a520111c1fe3,33.641348,-112.117624,Food,0,3
1,413ba880f964a520131c1fe3,33.538693,-112.064192,Food,2,3
2,413ba880f964a5201e1c1fe3,33.448301,-112.071748,Nightlife Spot,10,4
3,413ba880f964a520251b1fe3,33.431538,-112.056023,Food,0,3
4,413ba880f964a5202e1b1fe3,33.509699,-112.061063,Food,1,3
5,413ba880f964a520311b1fe3,33.485847,-112.06903,Food,3,3
6,413ba880f964a5206f1b1fe3,33.496386,-112.083957,Food,0,3
7,413ba880f964a520741b1fe3,33.497727,-112.0741,Nightlife Spot,0,4
8,413ba880f964a520751b1fe3,33.496178,-112.020451,Food,0,3
9,413ba880f964a5208b1b1fe3,33.479787,-112.074087,Food,5,3
10,413ba880f964a5208c1b1fe3,33.451732,-112.069583,Food,0,3
11,413ba880f964a520a11b1fe3,33.612761,-112.012525,Nightlife Spot,0,4
12,413ba880f964a520ae1b1fe3,33.435273,-112.074366,Food,3,3
13,413ba880f964a520b41b1fe3,33.448643,-112.071453,Nightlife Spot,0,4
14,413ba880f964a520b71b1fe3,33.457618,-112.047348,Food,8,3
15,413ba880f964a520c31b1fe3,33.579439,-112.118742,Nightlife Spot,0,4
16,413ba880f964a520c51b1fe3,33.48733,-112.082938,Food,0,3
17,413ba880f964a520d01b1fe3,33.447369,-112.063315,Food,0,3
18,413ba880f964a520d81b1fe3,33.449613,-112.071539,Nightlife Spot,6,4
19,413ba880f964a520db1b1fe3,33.451369,-111.973998,Nightlife Spot,0,4
20,413ba880f964a520e21b1fe3,33.6401,-112.154004,Nightlife Spot,0,4
21,413ba880f964a520ef1b1fe3,33.449168,-112.065654,Food,0,3
22,413ba880f964a520f11a1fe3,33.444806,-112.072225,Nightlife Spot,1,4
23,413ba880f964a520f41b1fe3,33.459813,-112.074223,Nightlife Spot,0,4
24,413ba880f964a520f81a1fe3,33.521742,-112.064617,Nightlife Spot,0,4
25,41463480f964a520b71c1fe3,33.636846,-112.070289,Nightlife Spot,0,4
26,414b7a80f964a520d01c1fe3,33.500469,-112.074053,Drink,18,2
27,42474900f964a52084201fe3,33.608982,-112.161211,College & University,0,1
28,42f6a080f964a520d0261fe3,33.638726,-112.166084,Nightlife Spot,0,4
29,4303cf80f964a52013271fe3,33.602503,-111.983728,Shop & Service,19,8
30,449e9fb9f964a520c0341fe3,33.435624,-112.003066,Travel & Transport,354,9
31,44c8c318f964a520ed351fe3,33.491616,-112.073432,Food,8,3
32,44e09b30f964a520fd361fe3,33.5112,-112.01408,Food,1,3
33,44e0a40bf964a52005371fe3,33.385371,-111.964974,Arts & Entertainment,2,0
34,44e119a0f964a52014371fe3,33.50273,-112.064652,Nightlife Spot,1,4
35,4651c0a2f964a520dd461fe3,33.666747,-112.124298,Drink,0,2
36,46604c34f964a5205f471fe3,33.458692,-112.069473,Arts & Entertainment,4,0
37,466827eaf964a5208c471fe3,33.458228,-112.067767,Nightlife Spot,0,4
38,4729fd2af964a520e94b1fe3,33.545219,-112.043185,Food,0,3
39,472eda7ef964a520094c1fe3,33.445515,-112.066748,Arts & Entertainment,61,0
40,472edc25f964a5200a4c1fe3,33.457457,-112.072349,Food,0,3
41,472f0b7ff964a520104c1fe3,33.448946,-111.955369,Arts & Entertainment,28,0
42,472f0d5df964a520114c1fe3,33.510556,-112.013512,Food,1,3
43,472f0debf964a520124c1fe3,33.453572,-112.069194,Arts & Entertainment,20,0
44,472f0ea0f964a520134c1fe3,33.521109,-112.094372,Arts & Entertainment,28,0
45,473077ddf964a520204c1fe3,33.639683,-112.152514,Food,0,3
46,47398593f964a520514c1fe3,33.508992,-112.043705,Food,0,3
47,47e9a02ef964a5205f4e1fe3,33.466022,-112.015334,Nightlife Spot,0,4
48,48ba73f9f964a520ca511fe3,33.448819,-112.066129,Arts & Entertainment,0,0
49,48ba760cf964a520cb511fe3,33.46244,-111.944598,Outdoors & Recreation,0,5
50,4a2f4efff964a520c0981fe3,33.570124,-112.053599,Residence,0,7
51,4a3020daf964a52024991fe3,33.452396,-112.070086,Travel & Transport,1,9
52,4a3260c4f964a520449a1fe3,33.684509,-112.094291,Professional & Other Places,2,6
53,4a32c3b1f964a5208b9a1fe3,33.572303,-112.060922,Shop & Service,0,8
54,4a332e5df964a5200e9b1fe3,33.385264,-111.965468,Arts & Entertainment,6,0
55,4a336759f964a5202b9b1fe3,33.491074,-112.079218,Travel & Transport,0,9
56,4a358186f964a520139d1fe3,33.637686,-112.18734,Nightlife Spot,0,4
57,4a36a0d2f964a520c49d1fe3,33.48525,-112.099548,Shop & Service,0,8
58,4a36a589f964a520ca9d1fe3,33.46091,-112.168343,Shop & Service,57,8
59,4a384af6f964a520de9e1fe3,33.639156,-112.185125,Nightlife Spot,0,4
60,4a3854cbf964a520e99e1fe3,33.431817,-111.948838,Arts & Entertainment,0,0
61,4a395979f964a5205d9f1fe3,33.510252,-112.027738,Food,0,3
62,4a3c61d2f964a52077a11fe3,33.52392,-112.047222,Food,0,3
63,4a3d3399f964a520f2a11fe3,33.55271,-112.056242,Shop & Service,2,8
64,4a3d9447f964a52077a21fe3,33.510539,-112.028619,Shop & Service,20,8
65,4a3d9cdaf964a5208ba21fe3,33.451853,-111.949053,Arts & Entertainment,8,0
66,4a3e8accf964a52009a31fe3,33.480043,-112.080604,Food,0,3
67,4a3eb5ccf964a52055a31fe3,33.467583,-112.073128,Arts & Entertainment,1,0
68,4a3fdf4cf964a52004a41fe3,33.454991,-112.079923,Food,5,3
69,4a417184f964a52050a51fe3,33.539034,-112.262077,Shop & Service,0,8
70,4a418b08f964a52068a51fe3,33.483429,-112.075009,Food,0,3
71,4a418de3f964a5206ba51fe3,33.48393,-112.074709,Drink,9,2
72,4a4256b0f964a520c2a51fe3,33.558823,-112.064937,Shop & Service,2,8
73,4a429f4df964a5200aa61fe3,33.449539,-112.065457,Nightlife Spot,1,4
74,4a440fe8f964a52018a71fe3,33.510303,-112.038814,Professional & Other Places,0,6
75,4a44539df964a52075a71fe3,33.449018,-112.073041,Nightlife Spot,0,4
76,4a44f633f964a5209fa71fe3,33.465338,-112.065536,Food,0,3
77,4a44fe95f964a520a4a71fe3,33.506222,-112.039373,Shop & Service,1,8
78,4a465d77f964a520c1a81fe3,33.455872,-112.072336,Nightlife Spot,2,4
79,4a46624ff964a520cba81fe3,33.51027,-112.028908,Food,0,3
80,4a46d6f7f964a5208ea91fe3,33.509996,-112.07222,Shop & Service,5,8
81,4a46e28cf964a5209ea91fe3,33.492596,-112.073416,Food,1,3
82,4a47e547f964a52043aa1fe3,33.576243,-112.065461,Food,0,3
83,4a47ecabf964a5204faa1fe3,33.52349,-112.022567,Travel & Transport,0,9
84,4a492ee6f964a52012ab1fe3,33.507195,-112.037929,Shop & Service,10,8
85,4a4a4729f964a520a4ab1fe3,33.509479,-112.07415,Drink,8,2
86,4a4abb64f964a52023ac1fe3,33.600483,-111.989822,Shop & Service,8,8
87,4a4be2b9f964a520d4ac1fe3,33.63718,-112.201485,Food,0,3
88,4a4d0858f964a52079ad1fe3,33.502227,-111.995743,Food,0,3
89,4a4d18f4f964a5208aad1fe3,33.500596,-112.074195,Food,3,3
90,4a4ea188f964a520d6ae1fe3,33.491267,-112.079237,Food,8,3
91,4a4f71bbf964a52052af1fe3,33.465356,-112.082852,Nightlife Spot,0,4
92,4a50168af964a520f5af1fe3,33.508651,-112.075296,Travel & Transport,20,9
93,4a501cd2f964a520f9af1fe3,33.498401,-112.069373,Outdoors & Recreation,5,5
94,4a52a9d7f964a520deb11fe3,33.535332,-112.261348,Arts & Entertainment,0,0
95,4a52c836f964a52001b21fe3,33.53313,-112.261636,Nightlife Spot,1,4
96,4a53aefbf964a5209db21fe3,33.510723,-111.986084,Food,0,3
97,4a53c00af964a520b1b21fe3,33.488921,-112.082997,Food,31,3
98,4a5532acf964a520d5b31fe3,33.453321,-112.074409,Outdoors & Recreation,1,5
99,4a563a04f964a520cab41fe3,33.666863,-112.127044,Professional & Other Places,2,6
100,4a569b81f964a52085b51fe3,33.63849,-112.18174,Food,0,3
101,4a56bc73f964a520b9b51fe3,33.505251,-112.037078,Nightlife Spot,1,4
102,4a575fa8f964a5200cb61fe3,33.453265,-112.072293,Drink,4,2
103,4a57f364f964a52021b71fe3,33.4975,-112.083864,Drink,0,2
104,4a57f5b2f964a52026b71fe3,33.444809,-112.079585,Arts & Entertainment,0,0
105,4a58d329f964a520fab71fe3,33.509559,-112.074607,Shop & Service,1,8
106,4a593b53f964a5200eb91fe3,33.641509,-112.00863,Arts & Entertainment,0,0
107,4a595b91f964a5204bb91fe3,33.506915,-112.074183,Food,32,3
108,4a5dfb09f964a520dabd1fe3,33.511015,-112.013547,Drink,0,2
109,4a5e773bf964a520a0be1fe3,33.506888,-112.037276,Outdoors & Recreation,0,5
110,4a5f6187f964a5207cbf1fe3,33.385049,-112.01879,Travel & Transport,0,9
111,4a5f7f5df964a520b9bf1fe3,33.495283,-111.988296,Drink,0,2
112,4a5f8353f964a520c2bf1fe3,33.477308,-111.984715,Shop & Service,10,8
113,4a5fcb9cf964a5203cc01fe3,33.512667,-112.074079,Nightlife Spot,14,4
114,4a60dd04f964a52054c11fe3,33.581452,-112.1231,Drink,0,2
115,4a62142bf964a520ffc21fe3,33.609576,-112.12383,Shop & Service,5,8
116,4a621755f964a5200fc31fe3,33.510872,-112.028102,Shop & Service,22,8
117,4a63910ff964a52053c51fe3,33.456544,-112.273278,Shop & Service,0,8
118,4a64ad1ef964a52078c61fe3,33.495786,-111.98817,Food,0,3
119,4a66768cf964a52097c81fe3,33.45291,-112.07553,Outdoors & Recreation,3,5
120,4a6695cbf964a520c0c81fe3,33.490891,-112.047951,Nightlife Spot,4,4
121,4a68b323f964a520d8ca1fe3,33.576255,-112.116437,Food,6,3
122,4a6a5ba8f964a52039cd1fe3,33.587837,-112.115982,Food,0,3
123,4a6a8c3ff964a520b9cd1fe3,33.533856,-112.260967,Food,0,3
124,4a6b279df964a52010ce1fe3,33.508712,-112.045815,Drink,5,2
125,4a6b58bbf964a52087ce1fe3,33.472528,-112.072686,Arts & Entertainment,9,0
126,4a6b9c29f964a5205acf1fe3,33.5007,-112.082763,Food,3,3
127,4a6bc518f964a520e7cf1fe3,33.51126,-112.12999,College & University,0,1
128,4a6cb933f964a5206ad11fe3,33.552696,-112.181686,Food,0,3
129,4a6cc843f964a520a0d11fe3,33.382863,-111.964846,Shop & Service,5,8
130,4a6d07d2f964a52060d21fe3,33.439353,-111.9505,Residence,0,7
131,4a6d15c2f964a5207ed21fe3,33.517384,-112.082844,Food,0,3
132,4a6d2102f964a52094d21fe3,33.377807,-111.966446,Food,0,3
133,4a6dd40af964a52018d31fe3,33.509599,-112.071724,Food,0,3
134,4a6e0116f964a5209bd31fe3,33.667497,-112.120628,Food,1,3
135,4a6e2bc0f964a52021d41fe3,33.509339,-112.083035,Travel & Transport,6,9
136,4a6e737df964a520c9d41fe3,33.39195,-111.961635,Shop & Service,1,8
137,4a6faf31f964a520d1d61fe3,33.448631,-112.079365,Arts & Entertainment,0,0
138,4a6ff0e5f964a52025d71fe3,33.523192,-112.046743,Nightlife Spot,0,4
139,4a70a2b3f964a52005d81fe3,33.470911,-112.064866,Food,0,3
140,4a711bb6f964a52021d91fe3,33.539086,-112.203522,Shop & Service,8,8
141,4a71411af964a52032d91fe3,33.500715,-112.169616,Professional & Other Places,6,6
142,4a7148fff964a52035d91fe3,33.493665,-112.201653,Shop & Service,9,8
143,4a72057af964a52025da1fe3,33.473943,-111.984973,Shop & Service,2,8
144,4a74e9daf964a520fedf1fe3,33.494359,-112.06985,Shop & Service,7,8
145,4a750c0af964a52060e01fe3,33.449222,-112.069722,Professional & Other Places,22,6
146,4a75d95bf964a5206ce11fe3,33.511102,-112.014792,Shop & Service,0,8
147,4a7620dbf964a52054e21fe3,33.522793,-112.09548,Shop & Service,38,8
148,4a7a401ff964a520fce81fe3,33.539612,-112.023147,Outdoors & Recreation,0,5
149,4a7bc3dff964a520c4eb1fe3,33.533124,-112.260875,Food,0,3
150,4a7cc599f964a52097ed1fe3,33.529196,-111.972442,Travel & Transport,0,9
151,4a7cfa69f964a52035ee1fe3,33.458482,-112.071551,Shop & Service,0,8
152,4a7d1893f964a5207eee1fe3,33.450249,-112.074298,Nightlife Spot,1,4
153,4a7d9a16f964a520e7ee1fe3,33.537955,-112.057421,Food,0,3
154,4a7ddc14f964a520eeef1fe3,33.479893,-112.091083,Food,4,3
155,4a7e10def964a520d8f01fe3,33.478489,-111.986468,Food,0,3
156,4a7e52bbf964a520c3f11fe3,33.666202,-112.064828,Shop & Service,1,8
157,4a7e8cb4f964a52000f21fe3,33.496081,-112.172256,Shop & Service,5,8
158,4a7e8dc5f964a52001f21fe3,33.470614,-112.222896,Shop & Service,5,8
159,4a7f61d9f964a520daf31fe3,33.510413,-112.266476,Shop & Service,3,8
160,4a7f95b2f964a5205bf41fe3,33.510127,-112.02791,Food,4,3
161,4a7fa1f6f964a5206af41fe3,33.494507,-111.995038,Nightlife Spot,3,4
162,4a808005f964a5207af51fe3,33.487872,-112.075465,Shop & Service,11,8
163,4a81b99ef964a52062f71fe3,33.626714,-112.100206,Food,0,3
164,4a81bc28f964a52069f71fe3,33.4484,-112.071796,Nightlife Spot,8,4
165,4a81f893f964a52028f81fe3,33.421621,-111.946789,Food,0,3
166,4a821194f964a52073f81fe3,33.476914,-112.224891,Shop & Service,17,8
167,4a826b71f964a5202bf91fe3,33.571064,-112.189964,College & University,40,1
168,4a828816f964a52038f91fe3,33.475398,-112.218647,Shop & Service,2,8
169,4a828b13f964a52039f91fe3,33.581153,-112.187566,Professional & Other Places,0,6
170,4a82c5cdf964a52054f91fe3,33.448165,-111.98802,Travel & Transport,245,9
171,4a837a65f964a5203ffb1fe3,33.390549,-112.136915,Shop & Service,1,8
172,4a847c90f964a520bcfc1fe3,33.37896,-111.972065,Shop & Service,2,8
173,4a84fdf5f964a520fcfd1fe3,33.520897,-112.098139,Shop & Service,14,8
174,4a862dcff964a520ac0020e3,33.494772,-112.023554,Nightlife Spot,0,4
175,4a86ed82f964a520ab0120e3,33.636828,-112.184701,Shop & Service,1,8
176,4a86f983f964a520e30120e3,33.538819,-112.1327,Food,0,3
177,4a8a0851f964a520b50920e3,33.666381,-112.124238,Arts & Entertainment,0,0
178,4a8da025f964a5204b1020e3,33.466497,-112.279887,Arts & Entertainment,6,0
179,4a8deb48f964a5206f1120e3,33.509523,-112.060233,Food,7,3
180,4a8f680ef964a520311520e3,33.454395,-112.014653,Arts & Entertainment,5,0
181,4a901a25f964a520021620e3,33.61045,-112.147466,Drink,11,2
182,4a902c98f964a520571620e3,33.533293,-112.261047,Shop & Service,8,8
183,4a904838f964a520061720e3,33.553806,-112.262292,Shop & Service,0,8
184,4a918c24f964a520a51a20e3,33.452994,-112.073594,College & University,6,1
185,4a93021ff964a5207b1e20e3,33.495719,-111.986657,Food,0,3
186,4a93e34cf964a520ec1f20e3,33.451746,-112.074537,Travel & Transport,24,9
187,4a946353f964a520692120e3,33.442273,-111.95626,Travel & Transport,15,9
188,4a9586d9f964a520832320e3,33.554056,-112.101059,Shop & Service,3,8
189,4a959b44f964a520db2320e3,33.465412,-112.278374,Food,0,3
190,4a9849f1f964a520542b20e3,33.488667,-112.082428,Shop & Service,4,8
191,4a99627cf964a5200d2e20e3,33.513409,-112.047937,Food,3,3
192,4a997691f964a520722e20e3,33.604661,-111.983433,Professional & Other Places,7,6
193,4a998686f964a520dc2e20e3,33.597181,-112.036194,Food,1,3
194,4a9a8cf3f964a520d63120e3,33.466662,-112.072402,Arts & Entertainment,0,0
195,4a9acd1bf964a520cb3220e3,33.584752,-111.978859,Shop & Service,0,8
196,4a9bd3e9f964a5204b3520e3,33.494162,-112.083066,Food,1,3
197,4a9c062ff964a520c33520e3,33.475484,-112.074019,Food,0,3
198,4a9c3627f964a520713620e3,33.510502,-112.04632,Food,0,3
199,4a9dc44cf964a520513920e3,33.454073,-111.951027,Outdoors & Recreation,1,5
200,4a9ea594f964a520c23a20e3,33.446263,-112.069302,Travel & Transport,23,9
201,4a9f6130f964a520213d20e3,33.509599,-112.098913,Travel & Transport,55,9
202,4aa16091f964a520754020e3,33.393262,-111.977777,Food,0,3
203,4aa54800f964a520d64720e3,33.554575,-112.101021,Shop & Service,5,8
204,4aa576f9f964a5207b4820e3,33.583543,-111.977231,Food,0,3
205,4aa59b61f964a520ef4820e3,33.451891,-112.069228,Drink,0,2
206,4aa5af0df964a520274920e3,33.683224,-112.09798,Food,2,3
207,4aa9a520f964a520ac5420e3,33.46432,-112.27317,Food,0,3
208,4aa9bf84f964a520285520e3,33.638785,-112.120109,Shop & Service,1,8
209,4aabe4a4f964a520bb5a20e3,33.464762,-112.073815,Travel & Transport,53,9
210,4aac3e01f964a520135d20e3,33.612414,-112.114085,Shop & Service,0,8
211,4aac55e1f964a5208b5d20e3,33.641594,-112.082286,Shop & Service,0,8
212,4aad44acf964a520615f20e3,33.666983,-112.202484,Food,0,3
213,4aaebc5ff964a520146320e3,33.465549,-112.081647,Food,0,3
214,4ab29e1df964a520a76b20e3,33.509526,-112.04254,Food,4,3
215,4ab29eb7f964a520aa6b20e3,33.422177,-111.945492,Food,0,3
216,4ab2e787f964a520e96c20e3,33.435345,-111.997848,Food,10,3
217,4ab2eb9df964a520fe6c20e3,33.478448,-112.290406,Shop & Service,0,8
218,4ab2ee42f964a520066d20e3,33.509486,-112.040326,Food,1,3
219,4ab3a310f964a520e66d20e3,33.448175,-112.02958,Travel & Transport,3,9
220,4ab3a524f964a520ec6d20e3,33.448364,-112.070735,Travel & Transport,6,9
221,4ab3bf0ef964a520436e20e3,33.473723,-111.986207,Nightlife Spot,0,4
222,4ab68a4cf964a520b27720e3,33.459516,-112.075739,Residence,45,7
223,4ab69ab4f964a520167820e3,33.423418,-112.269732,Shop & Service,0,8
224,4ab69abbf964a520177820e3,33.463399,-112.073984,Nightlife Spot,0,4
225,4ab6ac14f964a520857820e3,33.50977,-112.043605,Shop & Service,9,8
226,4ab73543f964a520cf7920e3,33.444387,-111.977146,Arts & Entertainment,0,0
227,4ab906b1f964a520bb7d20e3,33.483107,-112.089171,College & University,0,1
228,4ab918c4f964a520fb7d20e3,33.445671,-112.066866,Nightlife Spot,0,4
229,4ab98e8af964a520df7f20e3,33.510284,-112.046288,Food,2,3
230,4aba4c07f964a520c78020e3,33.410859,-112.015503,College & University,0,1
231,4abbac1ff964a520528420e3,33.466497,-112.273965,Shop & Service,1,8
232,4abc18b8f964a520598620e3,33.47382,-112.073805,Travel & Transport,1,9
233,4abc36b4f964a520cc8620e3,33.480637,-112.073851,Travel & Transport,7,9
234,4abcdca5f964a5207c8720e3,33.493958,-112.067452,Professional & Other Places,109,6
235,4abce4aef964a520948720e3,33.483307,-112.075038,Drink,8,2
236,4abce91ef964a520a98720e3,33.652513,-112.185732,Drink,1,2
237,4abd5667f964a520cb8920e3,33.448853,-112.073931,Travel & Transport,62,9
238,4abdee78f964a520838b20e3,33.488272,-112.081581,Shop & Service,49,8
239,4abe42a0f964a520468c20e3,33.463561,-112.275596,Shop & Service,9,8
240,4abe9a5ef964a520c78e20e3,33.495459,-112.003131,Nightlife Spot,0,4
241,4abf8218f964a520ef9020e3,33.523467,-112.047133,Drink,2,2
242,4abfba97f964a520e19120e3,33.553913,-112.260361,Shop & Service,0,8
243,4abfdcbaf964a520a99220e3,33.506153,-112.047058,Shop & Service,4,8
244,4ac15aebf964a520e19620e3,33.506266,-112.073983,Food,0,3
245,4ac15d3bf964a520e89620e3,33.511172,-112.02855,Food,0,3
246,4ac199f3f964a520909720e3,33.509482,-112.065276,Food,0,3
247,4ac3ae33f964a520599c20e3,33.488547,-112.065428,Drink,0,2
248,4ac3babef964a520959c20e3,33.464326,-112.274231,Food,1,3
249,4ac56886f964a520e8b120e3,33.466008,-112.218867,Food,0,3
250,4ac79ab7f964a52064b820e3,33.459367,-112.074223,Drink,2,2
251,4ac7ab7df964a520f4b820e3,33.481961,-112.079644,Professional & Other Places,0,6
252,4ac83ceef964a520fbbb20e3,33.379157,-112.031781,Shop & Service,0,8
253,4ac9b010f964a5201dc020e3,33.3783,-112.035629,Food,1,3
254,4acb08daf964a5203cc320e3,33.377804,-111.979168,Shop & Service,1,8
255,4acb5a15f964a52089c320e3,33.52376,-112.047595,Food,1,3
256,4acc99c3f964a52010c920e3,33.510441,-111.985665,Shop & Service,0,8
257,4acce6b3f964a520f4c920e3,33.406227,-111.962348,Travel & Transport,0,9
258,4ace7c67f964a520d2d020e3,33.65412,-112.151291,Shop & Service,3,8
259,4acea933f964a5209ad120e3,33.458821,-112.071512,Nightlife Spot,0,4
260,4acf3fe9f964a520e5d220e3,33.447728,-112.075071,Travel & Transport,39,9
261,4ad0cde5f964a520f6d920e3,33.421601,-111.953119,Food,0,3
262,4ad0df7bf964a520a0da20e3,33.56608,-112.063041,Professional & Other Places,0,6
263,4ad11910f964a520bbdc20e3,33.638697,-112.167196,Food,2,3
264,4ad2b28ef964a52082e220e3,33.421426,-111.970169,Shop & Service,0,8
265,4ad4d55af964a5201cfc20e3,33.392472,-111.961113,Food,5,3
266,4ad4df6cf964a5205dfc20e3,33.4953,-111.99405,Food,0,3
267,4ad53605f964a520610221e3,33.378347,-112.033103,Food,0,3
268,4ad76fe1f964a520670a21e3,33.422727,-111.951742,Food,0,3
269,4ad88a33f964a520241221e3,33.494286,-112.079206,Shop & Service,23,8
270,4ada2402f964a520001f21e3,33.378742,-111.966305,Food,1,3
271,4ada266cf964a520281f21e3,33.507158,-112.274089,Shop & Service,4,8
272,4ada6a3bf964a520672221e3,33.579912,-112.121531,Food,0,3
273,4ada74daf964a520c02221e3,33.572616,-112.118762,Arts & Entertainment,0,0
274,4ada8485f964a520312321e3,33.451021,-112.070666,Arts & Entertainment,0,0
275,4adb4563f964a5206d2521e3,33.53286,-112.037155,Outdoors & Recreation,1,5
276,4adb6b33f964a5203a2721e3,33.49587,-112.020042,Shop & Service,0,8
277,4adb92fdf964a520192921e3,33.638675,-112.170893,Food,0,3
278,4adcaf19f964a520b82e21e3,33.573926,-112.125703,Food,0,3
279,4adcd7bdf964a520633021e3,33.43556,-112.040377,Shop & Service,0,8
280,4add0ed9f964a520d26321e3,33.507914,-112.042313,Shop & Service,0,8
281,4add25cbf964a5204a6421e3,33.510121,-111.984477,Outdoors & Recreation,0,5
282,4ade7633f964a520037621e3,33.521415,-112.09548,Shop & Service,15,8
283,4adf5c9ff964a520e47921e3,33.377595,-111.96403,Food,0,3
284,4adfc963f964a5206e7d21e3,33.604076,-111.98626,Shop & Service,1,8
285,4ae0a43af964a520318121e3,33.579529,-112.098983,Shop & Service,18,8
286,4ae1c10cf964a5202a8721e3,33.442277,-111.955506,Drink,6,2
287,4ae1c1b0f964a520318721e3,33.452046,-112.151483,Shop & Service,8,8
288,4ae2007ff964a520ab8921e3,33.581505,-112.124913,Food,0,3
289,4ae22eb3f964a520898b21e3,33.510735,-112.085267,Shop & Service,5,8
290,4ae24456f964a5209c8c21e3,33.653674,-112.064925,Shop & Service,2,8
291,4ae33881f964a520de9121e3,33.483599,-112.074834,Food,0,3
292,4ae3c670f964a520db9821e3,33.459222,-112.073977,Travel & Transport,12,9
293,4ae4899af964a5206a9b21e3,33.487849,-112.074505,Shop & Service,25,8
